match_id,team,player,x,y,outcome,body_part,shot_type
19717,Liverpool WFC,Rinsola Babajide,89.0,42.0,Blocked,Left Foot,Open Play
19717,Liverpool WFC,Christie Murray,90.0,39.0,Off T,Right Foot,Open Play
19717,Arsenal WFC,Jordan Nobbs,110.0,53.0,Saved,Right Foot,Open Play
19717,Arsenal WFC,Vivianne Miedema,114.0,34.0,Blocked,Left Foot,Open Play
19717,Arsenal WFC,Vivianne Miedema,104.0,41.0,Blocked,Left Foot,Open Play
19717,Arsenal WFC,Jordan Nobbs,93.0,44.0,Saved,Right Foot,Open Play
19717,Arsenal WFC,Lia Wälti,108.0,28.0,Blocked,Left Foot,Open Play
19717,Liverpool WFC,Niamh Charles,117.0,45.0,Saved,Left Foot,Open Play
19717,Liverpool WFC,Sophie Elizabeth Bradley-Auckland,108.0,36.0,Saved,Head,Open Play
19717,Arsenal WFC,Katie McCabe,94.0,45.0,Saved,Left Foot,Open Play
19717,Arsenal WFC,Vivianne Miedema,105.0,40.0,Off T,Left Foot,Open Play
19717,Arsenal WFC,Jordan Nobbs,106.0,55.0,Off T,Right Foot,Open Play
19717,Arsenal WFC,Vivianne Miedema,106.0,45.0,Goal,Right Foot,Open Play
19717,Liverpool WFC,Courtney Sweetman-Kirk,84.0,38.0,Off T,Right Foot,Open Play
19733,Birmingham City WFC,Emma Follis,103.0,55.0,Saved,Right Foot,Open Play
19733,Manchester City WFC,Stephanie Houghton,106.0,37.0,Blocked,Head,Open Play
19733,Manchester City WFC,Georgia Stanway,87.0,47.0,Wayward,Right Foot,Open Play
19733,Birmingham City WFC,Chloe Arthur,91.0,39.0,Off T,Left Foot,Open Play
19733,Birmingham City WFC,Lucy Staniforth,113.0,42.0,Wayward,Right Foot,Open Play
19733,Birmingham City WFC,Hayley Ladd,102.0,40.0,Off T,Right Foot,Open Play
19733,Manchester City WFC,Georgia Stanway,95.0,32.0,Off T,Right Foot,Open Play
19733,Manchester City WFC,Caroline Weir,92.0,21.0,Off T,Right Foot,Open Play
19733,Birmingham City WFC,Emma Follis,101.0,58.0,Saved,Right Foot,Open Play
19733,Manchester City WFC,Jennifer Patricia Beattie,108.0,47.0,Blocked,Head,Open Play
19733,Manchester City WFC,Tessa Wullaert,100.0,53.0,Off T,Left Foot,Open Play
19733,Manchester City WFC,Nikita Parris,106.0,33.0,Saved,Right Foot,Open Play
19733,Birmingham City WFC,Meaghan Sargeant,114.0,44.0,Goal,Head,Open Play
19733,Manchester City WFC,Caroline Weir,107.0,45.0,Goal,Left Foot,Open Play
19733,Birmingham City WFC,Lucy Staniforth,100.0,32.0,Saved,Right Foot,Open Play
19733,Manchester City WFC,Nikita Parris,104.0,61.0,Blocked,Right Foot,Open Play
19733,Manchester City WFC,Tessa Wullaert,91.0,48.0,Saved,Right Foot,Open Play
19733,Manchester City WFC,Nikita Parris,113.0,39.0,Goal,Right Foot,Open Play
19733,Manchester City WFC,Keira Walsh,95.0,51.0,Blocked,Right Foot,Open Play
19733,Manchester City WFC,Tessa Wullaert,100.0,58.0,Goal,Right Foot,Open Play
19733,Birmingham City WFC,Hayley Ladd,94.0,15.0,Saved,Right Foot,Open Play
19733,Manchester City WFC,Georgia Stanway,107.0,24.0,Saved,Right Foot,Open Play
19733,Manchester City WFC,Caroline Weir,95.0,49.0,Post,Left Foot,Free Kick
19733,Manchester City WFC,Georgia Stanway,105.0,54.0,Wayward,Left Foot,Open Play
19733,Manchester City WFC,Caroline Weir,95.0,38.0,Saved,Left Foot,Open Play
19733,Birmingham City WFC,Lucy Staniforth,117.0,54.0,Saved,Right Foot,Open Play
19775,Reading WFC,Remi Allen,96.0,53.0,Blocked,Right Foot,Open Play
19775,Reading WFC,Fara Williams,95.0,33.0,Blocked,Left Foot,Open Play
19775,Liverpool WFC,Courtney Sweetman-Kirk,108.0,34.0,Goal,Right Foot,Open Play
19775,Reading WFC,Brooke Chaplen,112.0,59.0,Blocked,Right Foot,Open Play
19775,Reading WFC,Rachel Furness,112.0,33.0,Blocked,Left Foot,Open Play
19775,Reading WFC,Fara Williams,102.0,60.0,Blocked,Left Foot,Open Play
19775,Reading WFC,Mayumi Pacheco,101.0,30.0,Off T,Left Foot,Open Play
19775,Reading WFC,Fara Williams,89.0,41.0,Saved,Right Foot,Open Play
19775,Liverpool WFC,Kirsty Linnett,95.0,49.0,Saved,Left Foot,Open Play
19775,Liverpool WFC,Jessica Anne Clarke,112.0,35.0,Off T,Head,Open Play
19775,Liverpool WFC,Jessica Anne Clarke,104.0,52.0,Off T,Left Foot,Open Play
19775,Liverpool WFC,Courtney Sweetman-Kirk,115.0,34.0,Off T,Head,Open Play
19775,Reading WFC,Fara Williams,108.0,49.0,Off T,Right Foot,Open Play
19775,Reading WFC,Fara Williams,94.0,46.0,Off T,Right Foot,Free Kick
19775,Liverpool WFC,Jessica Anne Clarke,106.0,20.0,Blocked,Right Foot,Open Play
19775,Reading WFC,Charlotte Estcourt,90.0,60.0,Saved,Right Foot,Open Play
19775,Reading WFC,Remi Allen,90.0,41.0,Off T,Right Foot,Open Play
19775,Reading WFC,Brooke Chaplen,108.0,52.0,Off T,Right Foot,Open Play
19775,Reading WFC,Fara Williams,107.0,23.0,Saved,Left Foot,Open Play
19775,Reading WFC,Fara Williams,98.0,51.0,Off T,Right Foot,Open Play
19775,Reading WFC,Fara Williams,99.0,41.0,Off T,Left Foot,Open Play
19775,Reading WFC,Brooke Chaplen,114.0,32.0,Off T,Left Foot,Open Play
19775,Reading WFC,Fara Williams,89.0,27.0,Goal,Right Foot,Free Kick
19775,Liverpool WFC,Courtney Sweetman-Kirk,118.0,39.0,Goal,Head,Open Play
19775,Reading WFC,Rachel Furness,89.0,26.0,Off T,Left Foot,Open Play
19775,Reading WFC,Kirstyn Pearce,92.0,54.0,Off T,Right Foot,Open Play
19775,Reading WFC,Rachel Furness,99.0,22.0,Off T,Left Foot,Open Play
19775,Reading WFC,Fara Williams,91.0,49.0,Goal,Left Foot,Open Play
19775,Reading WFC,Rachel Furness,110.0,39.0,Off T,Head,Open Play
19775,Reading WFC,Fara Williams,82.0,33.0,Saved,Right Foot,Open Play
19775,Reading WFC,Molly Bartrip,92.0,40.0,Off T,Left Foot,Open Play
