match_id,team,player,x,y,outcome,body_part,shot_type,is_goal,is_header,distance,angle,xG
19717,Arsenal WFC,Lia Wälti,108.0,28.0,Blocked,Left Foot,Open Play,0,0,16.97056274847714,0.3095925826558117,0.09192196395866463
19717,Liverpool WFC,Niamh Charles,117.0,45.0,Saved,Left Foot,Open Play,0,0,5.830951894845301,0.8172356131560818,0.2257961944451165
19717,Liverpool WFC,Sophie Elizabeth Bradley-Auckland,108.0,36.0,Saved,Head,Open Play,0,1,12.649110640673518,0.5398041725446996,0.13639063741003923
19717,Arsenal WFC,Katie McCabe,94.0,45.0,Saved,Left Foot,Open Play,0,0,26.476404589747453,0.2700268656682572,0.05798342238414232
19717,Arsenal WFC,Vivianne Miedema,105.0,40.0,Off T,Left Foot,Open Play,0,0,15.0,0.4786473619894159,0.11695863506904544
19717,Arsenal WFC,Jordan Nobbs,106.0,55.0,Off T,Right Foot,Open Play,0,0,20.518284528683196,0.246314921323405,0.07405326180356736
19717,Arsenal WFC,Vivianne Miedema,106.0,45.0,Goal,Right Foot,Open Play,1,0,14.866068747318506,0.4585395653254654,0.1154918136867005
19717,Liverpool WFC,Courtney Sweetman-Kirk,84.0,38.0,Off T,Right Foot,Open Play,0,0,36.05551275463989,0.2020241246604609,0.03495351243699937
19733,Birmingham City WFC,Emma Follis,103.0,55.0,Saved,Right Foot,Open Play,0,0,22.67156809750927,0.2436412918312,0.06709195727532163
19733,Manchester City WFC,Stephanie Houghton,106.0,37.0,Blocked,Head,Open Play,0,1,14.317821063276352,0.4911389475425698,0.12175582574250071
19733,Manchester City WFC,Georgia Stanway,87.0,47.0,Wayward,Right Foot,Open Play,0,0,33.734255586866,0.2115807174203805,0.03928686230387956
19733,Birmingham City WFC,Chloe Arthur,91.0,39.0,Off T,Left Foot,Open Play,0,0,29.017236257093817,0.2507958243679795,0.0507021811341338
19733,Birmingham City WFC,Lucy Staniforth,113.0,42.0,Wayward,Right Foot,Open Play,0,0,7.280109889280518,0.9127873142810397,0.2308727074244096
19733,Birmingham City WFC,Hayley Ladd,102.0,40.0,Off T,Right Foot,Open Play,0,0,18.0,0.4011972476954352,0.09574019902675818
19733,Manchester City WFC,Georgia Stanway,95.0,32.0,Off T,Right Foot,Open Play,0,0,26.248809496813376,0.2645212140716381,0.05827156365068645
19733,Manchester City WFC,Caroline Weir,92.0,21.0,Off T,Right Foot,Open Play,0,0,33.83784863137726,0.179180837713112,0.037864492361755604
